GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US01106,01106,ZCTA5 01106,16048,14468,114,3,1117,0,40,306,31,275
8600000US01107,01107,ZCTA5 01107,11304,6697,1573,70,47,0,2518,399,247,152
8600000US01108,01108,ZCTA5 01108,28925,17487,5535,338,1488,42,2785,1250,180,1070
8600000US01109,01109,ZCTA5 01109,30125,13481,11533,112,357,12,3265,1365,148,1217
8600000US01118,01118,ZCTA5 01118,14774,11138,2002,83,565,0,443,543,285,258
8600000US01119,01119,ZCTA5 01119,13236,9067,3110,20,272,0,340,427,29,398
8600000US01128,01128,ZCTA5 01128,2798,2174,383,21,12,0,26,182,10,172
8600000US01129,01129,ZCTA5 01129,6750,5131,1124,9,92,0,93,301,30,271
8600000US01151,01151,ZCTA5 01151,8884,5647,2131,0,81,7,513,505,27,478
8600000US01199,01199,ZCTA5 01199,0,0,0,0,0,0,0,0,0,0
8600000US01201,01201,ZCTA5 01201,44775,39224,2046,171,905,8,878,1543,89,1454
8600000US01220,01220,ZCTA5 01220,8211,8017,64,4,31,0,32,63,6,57
8600000US01222,01222,ZCTA5 01222,818,799,0,6,0,0,13,0,0,0
8600000US01223,01223,ZCTA5 01223,2351,2231,27,0,4,0,34,55,9,46
8600000US01224,01224,ZCTA5 01224,209,209,0,0,0,0,0,0,0,0
8600000US01225,01225,ZCTA5 01225,3169,3162,0,0,0,0,0,7,0,7
8600000US01226,01226,ZCTA5 01226,6839,6602,26,28,106,0,8,69,30,39
8600000US01229,01229,ZCTA5 01229,86,78,0,0,0,0,0,8,0,8
8600000US01230,01230,ZCTA5 01230,8359,7216,252,10,138,5,391,347,10,337
8600000US01235,01235,ZCTA5 01235,2671,2615,4,2,0,0,9,41,8,33
8600000US01236,01236,ZCTA5 01236,1197,1115,55,0,0,0,6,21,0,21
8600000US01237,01237,ZCTA5 01237,2662,2561,74,0,2,0,6,19,7,12
8600000US01238,01238,ZCTA5 01238,5917,5391,82,8,174,0,239,23,0,23
8600000US01240,01240,ZCTA5 01240,4493,4277,100,0,91,0,0,25,0,25
8600000US01242,01242,ZCTA5 01242,475,474,0,0,0,0,0,1,0,1
8600000US01243,01243,ZCTA5 01243,333,331,0,0,2,0,0,0,0,0
8600000US01244,01244,ZCTA5 01244,108,108,0,0,0,0,0,0,0,0
8600000US01245,01245,ZCTA5 01245,803,781,5,0,5,0,9,3,0,3
8600000US01247,01247,ZCTA5 01247,15703,14599,222,18,81,21,119,643,60,583
8600000US01253,01253,ZCTA5 01253,742,732,0,5,0,0,0,5,0,5
8600000US01254,01254,ZCTA5 01254,977,923,10,3,23,0,0,18,0,18
8600000US01255,01255,ZCTA5 01255,859,818,3,0,9,0,10,19,3,16
8600000US01256,01256,ZCTA5 01256,764,675,40,2,0,0,2,45,0,45
8600000US01257,01257,ZCTA5 01257,2138,2122,0,0,0,0,16,0,0,0
8600000US01258,01258,ZCTA5 01258,357,307,0,40,1,4,5,0,0,0
8600000US01259,01259,ZCTA5 01259,506,495,7,0,0,0,0,4,0,4
8600000US01260,01260,ZCTA5 01260,447,447,0,0,0,0,0,0,0,0
8600000US01262,01262,ZCTA5 01262,1110,1021,26,0,13,0,38,12,0,12
8600000US01264,01264,ZCTA5 01264,205,196,2,0,0,0,7,0,0,0
8600000US01266,01266,ZCTA5 01266,1360,1213,52,24,23,4,25,19,0,19
8600000US01267,01267,ZCTA5 01267,7853,6453,391,71,480,0,132,326,10,316
8600000US01270,01270,ZCTA5 01270,813,779,0,0,10,0,3,21,0,21
8600000US01301,01301,ZCTA5 01301,17715,16231,457,7,192,0,311,517,125,392
