zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60419,22796,0.2404926354331364,44257.0,0.8410686085278118,0.2648813653392535,0.08526432634938254,0.11766338282225614,0.05307340086027473
60420,5841,0.04806902218570255,62266.0,0.8032871083718541,0.3361988847583643,0.08991635687732343,0.1050185873605948,0.07574349442379182
60421,3910,0.0644273127753304,73556.0,0.958312020460358,0.45175600739371535,0.09537892791127542,0.10314232902033271,0.05286506469500924
60422,9377,0.09001782531194295,87027.0,0.9703529913618428,0.11931304609822235,0.04097619764989455,0.3047604700210907,0.30325399216631516
60423,30907,0.07506112469437652,97703.0,0.9639887404147928,0.22441877326115328,0.08115423655082411,0.279327178693992,0.16849533568563005
60424,2303,0.08445945945945946,60179.0,0.9457229700390795,0.3915776241357637,0.10182275298554368,0.08359522313010685,0.0295411690760528
60425,9041,0.15790676416819013,54277.0,0.8869594071452273,0.26036165786525844,0.08737397983677389,0.18130900944151065,0.11761881901104176
60426,29826,0.20368354960234408,23303.0,0.8161000469389124,0.3901712180320763,0.04031209362808843,0.0785110533159948,0.02199826614651062
60428,12257,0.12992125984251968,34668.0,0.8856979685077915,0.3490175801447777,0.08479834539813857,0.08453981385729059,0.04912099276111686
60429,15504,0.15384615384615385,50628.0,0.8904798761609907,0.3029925187032419,0.08392480337617494,0.1597928256282371,0.08526760023019375
60430,19978,0.07019728021451829,71423.0,0.9213134447892682,0.16118947215355534,0.10120692162280064,0.2790460956812564,0.1981968881779846
60431,22926,0.05335063349107007,87284.0,0.9335688737677745,0.3000201491033649,0.10443951910806636,0.17973000201491032,0.09053663778628518
60432,20712,0.10650759219088937,37169.0,0.7949980687524141,0.3677304664352832,0.030305595530347923,0.05968001354440024,0.02488783543553712
60433,17034,0.12358748661829427,43742.0,0.8081484090642245,0.40118815557412046,0.05263157894736842,0.06599832915622389,0.035830316532070916
60435,50095,0.08269288728149488,52269.0,0.881445254017367,0.32837946622081865,0.08539228435197226,0.14028732429252586,0.07941668214750139
60436,18714,0.10063391442155309,49781.0,0.8247301485518863,0.342599612501053,0.07910032853171595,0.0953584365259877,0.04220368966388678
60437,138,0.017241379310344827,39167.0,0.8260869565217391,0.5847457627118644,0.01694915254237288,0.00847457627118644,0.0
60438,28987,0.12945821736034696,49881.0,0.8935384827681374,0.31796042617960424,0.1006595636732623,0.1514967021816337,0.06199898528665652
